id,langcode,Name_fr,Name_eng
1,afr,Afrikaans,Afrikaans
2,amh,Amharique,Amharic
3,ara,Arabe,Arabic
4,aze,Azeri,Azerbaijani
5,bel,Biélorusse,Belarussian
6,ben,Bengali,Bengali
7,ber,Tamazight,Tamazight
8,bos,Bosnien,Bosnian
9,bul,Bulgare,Bulgarian
10,cat,Catalan,Catalan
11,cnr,Monténégrin,Montenegrin
12,cze,Tchèque,Czech
13,dan,Danois,Danish
14,deu,Allemand,German
15,div,Maldivien,
16,dzo,Dzongkha,Dzongkha
17,ell,Grec,Greek
18,eng,Anglais,English
19,est,Estonien,Estonian
20,fas,Persan,Farsi
21,fil,Philippin,Filipino
22,fin,Finnois,Finnish
23,fj,Fidjien,fijian
24,fra,Français,French
25,hat,Créole Haitien,Haitian Creole
26,heb,Hébreu,Hebrew
27,hin,Hindi,Hindi
28,hrv,Croate,Croatian
29,hun,Hongrois,Hungarian
30,hye,Arménien,Armenian
31,ind,Indonésien,Indonesian
32,isl,Islandais,Icelandic
33,ita,Italien,Italian
34,jpn,Japonais,Japanese
35,kat,Géorgien,Georgian
36,kaz,Kazakh,Kazakh
37,khm,Khmer,Cambodian
38,kin,Kinyarwanda,Kinyarwanda
39,kir,Kirghize,Kyrgyz
40,kor,Coréen,Korean
41,kur,Kurde,Kurdish
42,lao,Laotien,Laotian
43,lav,Letton,Lettish
44,lin,Lingala,Lingala
45,lit,Lituanien,Lithuanian
46,ltz,Luxembourgeois,Luxembourgish
47,mah,Marshallais,Marshallese
48,mal,Malayalam,Malayalam
49,mkd,Macédonien,Macedonian
50,mlg,Malgache,Malagasy
51,mlt,Maltais,Maltese
52,mon,Mongol,Mongolian
53,mri,Maori,Maori
54,msa,Malais,Malay
55,mya,Birman,Burmese
56,nau,Nauruan,Nauruan
57,nep,Népalais,Nepalese
58,nld,Néerlandais,Dutch
59,nor,Norvégien,Norwegian
60,nso,Sotho du nord,Sesotho
61,pau,Paluan,Paluan
62,pol,Polonais,Polish
63,por,Portugais,Portuguese
64,prs,Dari,Persian
65,pus,Pachto,Pashto
66,ron,Roumain,Romanian
67,run,Kirundi,Kirundi
68,rus,Russe,Russian
69,sag,Sango,Sango
70,sin,Cingalais,Singalese
71,slk,Slovaque,Slovak
72,slv,Slovène,Slovene
73,smo,Samoan,Samoan
74,snd,Sindhi,Sindhi
75,som,Somali,Somali
76,sot,Sotho du Sud,Sesotho
77,spa,Espagnol,Spanish
78,sqi,Albanais,Albanian
79,srp,Serbe,Serbian
80,ssw,Swati,Swati
81,sus,Soussou ,Soussou 
82,swa,Swahili,Swahili
83,swb,Mahorais,Mahorais
84,swe,Suédois,Swedish
85,tam,Tamoul,Tamil
86,tet,Tétoum,Tetum
87,tgk,Tadjik,Tajik
88,tha,Thaï,Thai
89,tir,Tigrigna,Tigrigna
90,ton,Tongien,Tongan
91,tsn,Tswana,Tswana
92,tso,Tsonga,Tsonga
93,tuk,Turkmène,Turkmen
94,tur,Turc,Turkish
95,tvl,Tuvaluan,Tuvaluan
96,ukr,Ukrainien,Ukrainian
97,urd,Ourdou,Urdu
98,uzb,Ouzbek,Uzbek
99,vie,Vietnamien,Vietnamese
100,xho,Xhosa,Xhosa
101,zho,Chinois,Chinese
102,zul,Zoulou,Zulu
